"","region","fossil_index_reg","agri_index_reg","instit_index_reg","econ_index_reg","tech_index_reg","attitudes_index_reg"
"1","ASIA",44.3125509432988,15.1685423042728,52.8301810223483,39.7440847625715,44.1479850592386,48.9893503621817
"2","LAM",27.5090026542345,16.006540244725,42.4471961907168,38.294604139549,23.0933762592413,53.3357680895705
"3","MAF",NA,18.9635684920689,35.2180776645781,30.9522843833424,23.6895744831511,29.520871828093
"4","OECD",43.2729067503973,7.80613863143866,79.0890717999734,61.3530173884266,42.2178954123664,62.3562877701395
"5","REF",44.7066678497822,12.5169349335888,41.0063562036479,45.7523530584752,24.0348701083561,29.2849986368486
